Ticker,Company,GICS_Sector,GICS_Sub_Industry
ADBE,Adobe Inc.,Computer Software,Computer Software
AMD,Advanced Micro Devices,Semiconductors,Semiconductors
ABNB,Airbnb,Diversified Commercial Services,Diversified Commercial Services
ALNY,Alnylam Pharmaceuticals,Biotechnology,Biotechnology
GOOGL,Alphabet Inc. (Class A),Computer Software,Computer Software
GOOG,Alphabet Inc. (Class C),Computer Software,Computer Software
AMZN,Amazon,Catalog/Specialty Distribution,Catalog/Specialty Distribution
AEP,American Electric Power,Electric Utilities,Electric Utilities
AMGN,Amgen,Biotechnology,Biotechnology
ADI,Analog Devices,Semiconductors,Semiconductors
AAPL,Apple Inc.,Computer Manufacturing,Computer Manufacturing
AMAT,Applied Materials,Semiconductors,Semiconductors
APP,AppLovin,Computer Software,Computer Software
ARM,Arm Holdings,Semiconductors,Semiconductors
ASML,ASML Holding,Industrial Machinery,Industrial Machinery
TEAM,Atlassian,Computer Software,Computer Software
ADSK,Autodesk,Computer Software,Computer Software
ADP,Automatic Data Processing,Diversified Commercial Services,Diversified Commercial Services
AXON,Axon Enterprise,Ordnance & Accessories,Ordnance & Accessories
BKR,Baker Hughes,Oil Equipment & Services,Oil Equipment & Services
BKNG,Booking Holdings,Transportation Services,Transportation Services
AVGO,Broadcom,Semiconductors,Semiconductors
CDNS,Cadence Design Systems,Computer Software,Computer Software
CHTR,Charter Communications,Cable & Other Pay Television Services,Cable & Other Pay Television Services
CTAS,Cintas,Garments & Clothing,Garments & Clothing
CSCO,Cisco,Computer Communications Equipment,Computer Communications Equipment
CCEP,Coca-Cola Europacific Partners,Soft Drinks,Soft Drinks
CTSH,Cognizant,EDP Services,EDP Services
CMCSA,Comcast,Cable & Other Pay Television Services,Cable & Other Pay Television Services
CEG,Constellation Energy,Electric Utilities,Electric Utilities
CPRT,Copart,Retail,Retail
CSGP,CoStar Group,Real Estate,Real Estate
COST,Costco,Department/Specialty Retail Stores,Department/Specialty Retail Stores
CRWD,CrowdStrike,Computer Software,Computer Software
CSX,CSX Corporation,Railroads,Railroads
DDOG,Datadog,Computer Software,Computer Software
DXCM,DexCom,Medical/Dental Instruments,Medical/Dental Instruments
FANG,Diamondback Energy,Oil & Gas Production,Oil & Gas Production
DASH,DoorDash,EDP Services,EDP Services
EA,Electronic Arts,Miscellaneous Amusement & Recreation Services,Miscellaneous Amusement & Recreation Services
EXC,Exelon,Power Generation,Power Generation
FAST,Fastenal,Construction & Materials,Construction & Materials
