Ticker,Company,Sector,Large Cap
BAJFINANCE.NS,Bajaj Finance,Financial Services,Yes
SHRIRAMFIN.NS,Shriram Finance,Financial Services,Yes
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,Yes
ASTERDM.NS,Aster DM Healthcare,Healthcare,
SONACOMS.NS,Sona BLW Precision Forgings,Auto Components,
MOTHERSON.NS,Samvardhana Motherson,Auto Components,Yes
NAVINFLUOR.NS,Navin Fluorine International,Chemicals,
AUBANK.NS,AU Small Finance Bank,Banking,
AEGISLOG.NS,Aegis Logistics,Logistics,
RKFORGE.NS,Ramkrishna Forgings,Industrials,
RATEGAIN.NS,RateGain Travel Technologies,Technology,
SANSERA.NS,Sansera Engineering,Auto Components,
ICICIBANK.NS,ICICI Bank,Banking,Yes
SBIN.NS,State Bank of India,Banking,Yes
HDFCBANK.NS,HDFC Bank,Banking,Yes
KOTAKBANK.NS,Kotak Mahindra Bank,Banking,Yes
LTF.NS,L&T Finance,Financial Services,
NYKAA.NS,FSN E-Commerce Ventures,Consumer Internet,
